,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
1854,0.385336,0.374056,1.09066951915,"(35, 39)",-0.57,0.57,2.54799921507,3.79,-0.566526200167,-0.3,2600,0.245451252865,2600,0.602223001931,-0.000219146482122,-0.002,443,0.597315420621,943,0.609836578554,589,0.578864452387,823,,,776,0.615262382985,1854,0.31000210142
1855,0.374056,0.385336,1.09066951915,"(39, 35)",0.57,0.57,2.54799921507,3.79,-0.566526200167,-0.3,2601,0.245650806688,2601,0.602210989045,0.0,0.0,442,0.597374282119,942,0.609877142384,588,0.578878578052,824,,,734,0.611569683991,1855,0.310201019363
2510,0.99508,0.043816,1.09206959485,"(4, 31)",-1.048,1.048,4.63533170334,8.81,-0.368090846212,-0.35909242323,2603,0.246050857602,2603,0.602679921316,0.0,0.0,707,0.629678413124,1933,0.636062724138,1755,0.643345395884,654,,,662,0.612439240493,2510,0.476927974178
2511,0.043816,0.99508,1.09206959485,"(31, 4)",1.048,1.048,4.63533170334,8.81,-0.368090846212,-0.35909242323,2602,0.245851085347,2602,0.60244545635,0.000402612370342,0.002,706,0.628887946171,1932,0.635780314483,1754,0.643041961468,656,,,667,0.612927699315,2511,0.47729146245
2579,0.99508,0.014344,1.09666038499,"(29, 31)",-1.156,1.156,5.01037922716,9.77,-0.808728775584,-0.9,2605,0.246456955827,2604,0.602989590668,-0.000443761996161,-0.002,144,0.567481258324,2071,0.635086474518,1906,0.641725036253,101,2755.0,0.611709769253,66,0.554365560282,2579,0.503719477118
2578,0.014344,0.99508,1.09666038499,"(31, 29)",1.156,1.156,5.01037922716,9.77,-0.808728775584,-0.9,2604,0.246254164463,2605,0.60329918988,0.0,0.0,145,0.57362476399,2070,0.634731447921,1907,0.642102749799,102,,,67,0.568093133935,2578,0.503302428529
2372,0.1696,0.531496,1.0993707291,"(13, 44)",0.898,0.898,4.54195992937,9.1,-0.845201465634,-0.615587011251,2606,0.246661626033,2606,0.603439726819,0.000344457230533,0.002,98,0.511597562257,1893,0.636878312723,1798,0.641616688843,309,,,308,0.57607425548,2372,0.431123543263
2373,0.531496,0.1696,1.0993707291,"(44, 13)",-0.898,0.898,4.54195992937,9.1,-0.845201465634,-0.615587011251,2607,0.246865776915,2607,0.603580319803,0.0,0.0,99,0.516972184938,1892,0.636711895632,1799,0.641787753077,308,,,309,0.577408649387,2373,0.431426750771
2748,0.339024,0.369144,1.10050897316,"(49, 7)",-2.02,2.02,4.10610521054,8.71,-0.710858916159,0.0,2609,0.24727453501,2609,0.605934634766,0.0,0.0,251,0.596168427251,1721,0.64420147475,1739,0.641555222446,1255,,,1292,0.618528376258,2748,0.602363086206
2749,0.369144,0.339024,1.10050897316,"(7, 49)",2.02,2.02,4.10610521054,8.71,-0.710858916159,0.0,2608,0.247070415316,2608,0.604758578527,0.000774243004983,0.002,250,0.583533594476,1720,0.642545213639,1738,0.639907830839,1254,,,1293,0.62083680479,2749,0.603484603705
